PR	PM	T
64	50	140
64	50	140
64	50	140
64	50	140
64	50	140
64	50	140
64	50	140
64	50	140
64	50	140
64	50	140
64	50	140
64	50	140
64	50	140
64	51	140
64	51	128
64	51	128
64	51	128
64	51	128
64	51	128
64	52	128
64	52	116
64	52	116
64	52	116
64	52	116
64	52	116
64	52	116
64	52	116
64	52	116
64	52	116
64	52	116
64	52	116
64	52	116
64	52	116
64	52	116
64	52	116
64	52	116
64	52	116
64	52	116
64	52	116
64	53	116
64	53	104
64	53	104
64	53	104
64	53	104
64	53	104
64	53	104
64	54	104
64	54	92
64	54	92
64	54	92
64	54	92
64	54	92
64	54	92
64	54	92
64	54	92
64	54	92
64	54	92
64	54	92
64	54	92
64	54	92
64	54	92
64	54	92
64	54	92
64	54	92
64	54	84
64	54	84
64	54	84
64	54	84
64	54	84
64	54	84
64	55	72
64	55	72
64	55	72
64	55	72
64	55	72
64	55	72
64	55	72
64	56	72
64	56	72
64	56	60
64	56	60
64	56	60
64	56	60
64	56	60
64	56	60
64	56	60
64	56	60
64	56	60
64	56	60
64	56	60
64	56	60
64	56	60
64	56	60
64	56	60
64	56	60
64	56	60
64	56	60
64	56	60
64	56	60
64	56	60
64	56	60
64	57	60
64	57	60
64	57	48
64	57	48
64	57	48
64	57	48
64	57	48
64	57	48
64	58	36
64	58	36
64	58	36
64	58	36
64	58	36
64	58	36
64	58	36
64	58	36
64	58	36
64	58	36
64	58	36
64	58	36
64	58	36
64	58	36
64	58	36
64	58	36
64	58	36
64	58	36
64	58	36
64	58	36
64	58	36
64	58	36
64	58	36
64	58	36
64	58	36
64	59	36
64	59	24
64	59	24
64	59	24
64	59	24
64	59	24
64	59	24
64	59	24
64	59	24
64	59	24
64	60	24
64	60	12
64	60	12
64	60	12
64	60	12
64	60	12
64	60	12
64	60	12
64	60	12
64	60	12
64	60	12
64	60	12
64	60	12
64	60	12
64	60	12
64	60	12
64	60	12
64	60	12
64	60	12
64	60	12
64	60	12
64	60	12
64	60	12
64	60	12
64	60	12
64	60	12
64	60	12
64	60	12
64	60	12
64	60	12
64	60	12
64	61	12
64	61	12
64	61	0
64	61	0
64	61	0
64	61	0
64	61	0
64	61	0
64	61	0
64	61	0
64	61	0
64	61	0
64	61	0
